İllər,Nəfərlə,Nəfərlə,Nəfərlə,Əhalinin hər 1000 nəfərinə,Əhalinin hər 1000 nəfərinə,Əhalinin hər 1000 nəfərinə
Doğulanların sayı,Ölənlərin sayı,Təbii artım,Doğulanların sayı,Ölənlərin sayı,Təbii artım,
2000,116994,46701,70293,"14,7","5,9","8,8"
2001,110356,45284,65072,"13,7","5,6","8,1"
2002,110715,46522,64193,"13,7","5,7","8,0"
2003,113467,49001,64466,"13,9","6,0","7,9"
2004,131609,49568,82041,"15,9","6,0","9,9"
2005,141901,51962,89939,"16,9","6,2","10,7"
2006,148946,52248,96698,"17,5","6,2","11,3"
2007,151963,53655,98308,"17,7","6,2","11,5"
2008,152086,52710,99376,"17,4","6,0","11,4"
2009,152139,52514,99625,"17,2","5,9","11,3"
2010,165643,53580,112063,"18,5","6,0","12,5"
2011,176072,53762,122310,"19,4","5,9","13,5"
2012,174469,55017,119452,"19,0","6,0","13,0"
2013,172671,54383,118288,"18,6","5,8","12,8"
2014,170503,55648,114855,"18,1","5,9","12,2"
2015,166210,54697,111513,"17,4","5,7","11,7"
2016,159464,56648,102816,"16,5","5,9","10,6"
2017,144041,57109,86932,"14,8","5,9","8,9"
2018,138982,57250,81732,"14,2","5,8","8,4"
2019,141179,55916,85263,"14,2","5,6","8,6"
2020,126571,75647,50924,"12,7","7,6","5,1"
2021,112284,76878,35406,"11,2","7,7","3,5"
2022,122846,60810,62036,"12,2","6,0","6,2"
2023,112620,60150,52470,"11,1","5,9","5,2"
2024,102310,58909,43401,"10,0","5,8","4,2"
