Yaş qrupları,Min nəfərlə,Min nəfərlə,Min nəfərlə,Min nəfərlə,Min nəfərlə,Min nəfərlə,"Yekuna görə, faizlə","Yekuna görə, faizlə","Yekuna görə, faizlə","Yekuna görə, faizlə","Yekuna görə, faizlə","Yekuna görə, faizlə"
2020,2021,2022,2023,2024,2025,2020,2021,2022,2023,2024,2025,
Cəmi əhali,"9974,0","10026,1","10063,3","10127,1","10180,8","10224,9","100,0","100,0","100,0","100,0","100,0","100,0"
o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:,o cümlədən yaşda:
0-4,"687,1","663,0","637,2","635,7","608,8","570,1","6,9","6,6","6,3","6,3","6,0","5,6"
5-9,"825,5","809,9","777,0","738,0","709,0","685,8","8,3","8,1","7,7","7,3","6,9","6,7"
10-14,"798,7","818,1","838,7","843,2","843,2","824,8","8,0","8,2","8,4","8,3","8,3","8,1"
15-19,"651,3","673,7","698,7","729,2","762,2","797,7","6,5","6,7","6,9","7,2","7,5","7,8"
20-24,"692,0","661,1","644,5","640,2","637,4","649,2","6,9","6,6","6,4","6,3","6,3","6,4"
25-29,"879,7","844,9","801,4","759,8","721,1","689,2","8,8","8,4","8,0","7,5","7,1","6,7"
30-34,"927,9","936,3","941,0","930,6","912,8","876,1","9,3","9,3","9,4","9,2","9,0","8,6"
35-39,"793,2","819,7","847,5","873,8","899,1","923,6","7,9","8,2","8,4","8,6","8,8","9,0"
40-44,"665,9","690,1","715,5","742,6","769,1","788,0","6,7","6,9","7,1","7,3","7,5","7,7"
45-49,"579,2","582,6","587,9","603,2","625,4","658,3","5,8","5,8","5,8","6,0","6,1","6,4"
50-54,"618,2","611,1","605,0","589,9","579,2","567,5","6,2","6,1","6,0","5,8","5,7","5,6"
55-59,"618,2","612,9","603,6","600,7","597,4","598,1","6,2","6,1","6,0","5,9","5,9","5,8"
60-64,"514,9","540,0","562,0","580,8","585,8","584,2","5,2","5,4","5,6","5,8","5,8","5,7"
65-69,"316,1","342,0","364,6","396,7","429,4","470,4","3,2","3,4","3,6","3,9","4,2","4,6"
70 yaş və yuxarı,"406,1","420,7","438,7","462,7","500,9","541,9","4,1","4,2","4,4","4,6","4,9","5,3"
