İllər,Nikahların sayı,Boşanmaların sayı,Əhalinin hər 1000 nəfərinə,Əhalinin hər 1000 nəfərinə
Nikahların sayı,Boşanmaların sayı,,,
2000,39611,5478,"5,0","0,7"
2001,41861,5382,"5,2","0,7"
2002,41661,5738,"5,1","0,7"
2003,56091,6671,"6,8","0,8"
2004,62177,6914,"7,5","0,8"
2005,71643,8895,"8,5","1,1"
2006,79443,7817,"9,4","0,9"
2007,81758,8340,"9,5","1,0"
2008,79964,7933,"9,2","0,9"
2009,78072,7784,"8,8","0,9"
2010,79172,9061,"8,9","1,0"
2011,88145,10747,"9,7","1,2"
2012,79065,11087,"8,6","1,2"
2013,86852,11730,"9,3","1,3"
2014,84912,12088,"9,0","1,3"
2015,68773,12764,"7,2","1,3"
2016,66771,13114,"6,9","1,4"
2017,62923,14514,"6,5","1,5"
2018,62484,14857,"6,4","1,5"
2019,63869,17148,"6,4","1,7"
2020,35348,14628,"3,5","1,5"
2021,56314,17191,"5,6","1,7"
2022,61939,15983,"6,1","1,6"
2023,54200,21688,"5,3","2,1"
2024,49508,21384,"4,9","2,1"
